,Type
0,NG (Natural Gas)
1,DFO (Distillate Fuel Oil)
2,WAT (Water)
3,NG (Natural Gas)
4,WAT (Water)
5,WAT (Water)
6,NG (Natural Gas)
7,WAT (Water)
8,WND (Wind)
9,WAT (Water)
10,WAT (Water)
11,WAT (Water)
12,WAT (Water)
13,WAT (Water)
14,WAT (Water)
15,WAT (Water)
16,WND (Wind)
17,WAT (Water)
18,WND (Wind)
19,DFO (Distillate Fuel Oil)
20,WAT (Water)
21,WAT (Water)
22,WAT (Water)
23,DFO (Distillate Fuel Oil)
24,NG (Natural Gas)
25,WAT (Water)
26,WAT (Water)
27,WAT (Water)
28,WND (Wind)
29,WAT (Water)
30,DFO (Distillate Fuel Oil)
31,WAT (Water)
32,DFO (Distillate Fuel Oil)
33,WAT (Water)
34,WAT (Water)
35,DFO (Distillate Fuel Oil)
36,WAT (Water)
37,WAT (Water)
38,WAT (Water)
39,WAT (Water)
40,WND (Wind)
41,WAT (Water)
42,WAT (Water)
43,NG (Natural Gas)
44,WND (Wind)
45,DFO (Distillate Fuel Oil)
46,WND (Wind)
47,WAT (Water)
48,WAT (Water)
49,WAT (Water)
50,WAT (Water)
51,WAT (Water)
52,DFO (Distillate Fuel Oil)
53,BIT (Bituminous Coal)
54,WAT (Water)
55,WAT (Water)
56,DFO (Distillate Fuel Oil)
57,DFO (Distillate Fuel Oil)
58,WND (Wind)
59,WAT (Water)
60,NG (Natural Gas)
61,DFO (Distillate Fuel Oil)
62,WAT (Water)
63,WND (Wind)
64,WND (Wind)
65,WAT (Water)
66,WAT (Water)
67,WAT (Water)
68,DFO (Distillate Fuel Oil)
69,WAT (Water)
70,DFO (Distillate Fuel Oil)
71,WAT (Water)
72,WAT (Water)
73,WAT (Water)
74,WAT (Water)
75,WAT (Water)
76,DFO (Distillate Fuel Oil)
77,DFO (Distillate Fuel Oil)
78,WAT (Water)
79,DFO (Distillate Fuel Oil)
80,WAT (Water)
81,WAT (Water)
82,WAT (Water)
83,WAT (Water)
84,WAT (Water)
85,SUN (Solar)
86,WAT (Water)
87,WAT (Water)
88,DFO (Distillate Fuel Oil)
89,WND (Wind)
90,SUN (Solar)
91,WAT (Water)
92,WAT (Water)
93,WAT (Water)
94,DFO (Distillate Fuel Oil)
95,WAT (Water)
96,WAT (Water)
97,WAT (Water)
98,DFO (Distillate Fuel Oil)
99,WND (Wind)
100,WAT (Water)
101,WAT (Water)
102,WAT (Water)
103,WAT (Water)
104,SUN (Solar)
105,WND (Wind)
106,SUN (Solar)
107,DFO (Distillate Fuel Oil)
108,WAT (Water)
109,WAT (Water)
110,WAT (Water)
111,DFO (Distillate Fuel Oil)
112,SUN (Solar)
113,WAT (Water)
114,WAT (Water)
115,WAT (Water)
116,NG (Natural Gas)
117,SUN (Solar)
118,SUN (Solar)
119,SUN (Solar)
120,WAT (Water)
121,SUN (Solar)
122,WND (Wind)
123,NG (Natural Gas)
124,SUN (Solar)
125,WAT (Water)
